"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"1","A.J. Green","Mil","G","23.5","32","9.5","16.6","7.6","4","1","18","0.5","91","0.429","0.619","0.627","4.3","1.2","0.6","0.2","0","0.3","5.5","4.9","6.1","6.1","122.7","105.7"
"2","A.J. Lawson","Dal","G","22.7","11","5.5","20.6","3.8","3","0.333","9","0.556","16","0.438","0.62","0.608","2.9","0.7","0.1","0.1","0","0.1","3.6","3","3.7","4.3","116.5","107.9"
"3","A.J. Lawson","Min","G","22.7","1","1.8","23.8","0","0","0","1","1","0","0","1","1","2","1","0","0","0","0","3","2","3","0","",""
"4","Aaron Gordon","Den","F","27.5","58","30.1","21.2","11.9","279","0.62","494","0.646","147","0.367","0.624","0.637","16.8","6.7","2.9","0.8","0.7","1.5","23.5","19.7","26.3","9.1","127.2","111.4"
"5","Aaron Holiday","Atl","G","26.5","54","13.6","13.3","13.7","28","0.857","114","0.421","75","0.413","0.5","0.529","3.9","1.2","1.2","0.5","0.2","0.6","5.2","5.2","6.4","5.2","108.8","111.4"
"6","Aaron Nesmith","Ind","G-F","23.4","61","24.8","16.6","10.6","113","0.85","226","0.5","262","0.355","0.517","0.559","9.9","3.8","1.2","0.8","0.4","1","13.7","11.1","14.9","5.7","110.8","107.5"
"7","Aaron Wiggins","Okc","G-F","24.2","58","18.5","14.4","13.6","59","0.814","197","0.558","101","0.376","0.56","0.59","6.6","3.1","1.2","0.5","0.2","0.8","9.6","7.8","10.9","6.3","117.2","110.1"
"8","Admiral Schofield","Orl","F","26","31","11.9","12.8","5.9","19","0.895","38","0.684","57","0.351","0.589","0.624","4.2","1.7","0.8","0.2","0.1","0.2","5.8","5","6.6","6","134.3","104.1"
"9","AJ Griffin","Atl","F","19.6","62","19.4","17.8","7.1","38","0.895","231","0.55","226","0.381","0.56","0.576","8.8","2","1","0.6","0.1","0.6","10.8","9.8","11.8","5.4","114.8","114.3"
"10","Al Horford","Bos","C-F","36.8","56","31","11.7","6.8","21","0.714","144","0.542","278","0.457","0.636","0.64","9.9","6.2","3","0.5","0.9","0.6","16","12.8","19","7.3","135.2","108.9"
"11","Alec Burks","Det","G","31.7","51","22","22.6","11.2","188","0.814","220","0.459","239","0.414","0.544","0.602","12.8","3.1","2.2","0.7","0.2","1.1","15.9","15","18.1","8.1","119.8","112.3"
"12","Aleksej Pokusevski","Okc","C","21.2","31","21.9","18.4","14.4","33","0.636","142","0.486","101","0.376","0.519","0.53","8.8","5.1","2","0.6","1.3","1.3","13.9","10.8","15.9","8.2","107.1","108"
"13","Alex Caruso","Chi","G","29","58","24.3","11.1","22.4","69","0.812","122","0.533","131","0.359","0.536","0.577","5.6","3.1","3.1","1.6","0.6","1.3","8.7","8.7","11.7","6.2","113","104"
"14","Alex Len","Sac","C","29.8","17","3.1","15.9","38.2","4","0.75","10","0.5","1","0","0.455","0.509","0.8","0.9","0.3","0","0","0.4","1.7","1.1","2","7.7","",""
"15","Alize Johnson","San","F","26.9","4","7.4","15.3","39.1","2","0.5","4","0.75","2","0","0.5","0.509","1.8","2.5","0.3","0.3","0","1","4.3","2","4.5","6","74","108.6"
"16","Alondes Williams","Bro","G","23.7","1","5.3","16.8","100","0","0","0","0","0","0","","","0","1","0","0","0","2","1","0","1","0","","97.8"
"17","Alperen Sengun","Hou","C","20.6","64","28.5","21.5","19.2","243","0.733","632","0.57","45","0.333","0.565","0.601","14.7","8.8","3.8","0.9","0.9","2.5","23.5","18.5","27.3","11.1","117.9","107.4"
"18","Amir Coffey","Lac","G-F","25.8","45","13.2","13.6","11.3","59","0.78","103","0.427","38","0.263","0.418","0.491","3.6","1.2","1.1","0.2","0.1","0.4","4.8","4.8","5.9","5.1","108.9","111.6"
"19","Andre Drummond","Chi","C","29.6","56","12.9","20.9","22.2","102","0.529","229","0.62","2","0","0.615","0.613","6","6.6","0.6","0.7","0.4","1.2","12.6","6.6","13.2","8.9","115","93.1"
"20","Andre Iguodala","Gol","G-F","39.1","8","14.1","9.4","37","3","0.667","6","1","9","0.111","0.5","0.521","2.1","2.1","2.4","0.5","0.4","1.1","4.3","4.5","6.6","6.2","102","108.4"
"21","Andrew Nembhard","Ind","G-F","23.2","63","26.9","15.4","16.5","47","0.787","272","0.493","227","0.339","0.5","0.516","8.5","2.7","4","1","0.2","1.6","11.2","12.5","15.2","6.7","105.2","113.1"
"22","Andrew Wiggins","Gol","F","28.1","37","32.2","21.4","8.3","72","0.611","304","0.53","225","0.396","0.557","0.564","17.1","5","2.3","1.2","0.8","1.3","22.1","19.4","24.4","7.2","112.5","109.7"
"23","Anfernee Simons","Por","G","23.8","61","35","25.2","10.9","176","0.892","475","0.526","555","0.38","0.55","0.582","21.1","2.6","4","0.7","0.2","2.1","23.7","25.2","27.8","6.9","113.8","116.5"
"24","Anthony Davis","Lal","F-C","30","45","33.6","28.9","11.7","350","0.803","710","0.59","68","0.265","0.573","0.629","26.1","12.5","2.6","1","2","2.3","38.6","28.6","41.2","11.3","123.9","104.7"
"25","Anthony Edwards","Min","G","21.6","71","36","29.8","14.6","378","0.767","860","0.515","521","0.37","0.53","0.567","24.7","5.9","4.4","1.6","0.7","3.3","30.6","29.2","35","9.6","106.3","110.1"
"26","Anthony Gill","Was","F","30.4","47","9.9","11.4","10.7","45","0.8","70","0.714","21","0.143","0.599","0.654","3.1","1.5","0.5","0.1","0.2","0.2","4.6","3.6","5","5.4","135.7","108"
"27","Anthony Lamb","Gol","F","25.2","51","20.1","13.9","14.7","45","0.733","96","0.667","176","0.375","0.599","0.615","7","3.5","1.7","0.5","0.3","0.9","10.5","8.8","12.2","6.9","119","107"
"28","Austin Reaves","Lal","G","24.8","53","27.7","15.4","16.5","188","0.851","203","0.626","175","0.383","0.602","0.667","11.6","2.9","2.8","0.6","0.4","1.4","14.5","14.4","17.3","6.6","125.5","112.5"
"29","Austin Rivers","Min","G","30.6","51","19.9","10.5","9.9","39","0.769","86","0.558","123","0.35","0.538","0.564","5","1.6","1.5","0.5","0.1","0.5","6.6","6.5","8.1","4.6","114.4","112"
"30","Ayo Dosunmu","Chi","G","23.2","67","27","14.8","14.9","74","0.811","327","0.584","162","0.315","0.547","0.57","8.9","2.9","2.6","0.7","0.3","1.3","11.8","11.5","14.4","6","110.7","108.1"
"31","Bam Adebayo","Mia","C-F","25.7","66","35.1","25.5","14.4","363","0.804","996","0.548","12","0.083","0.543","0.594","21","9.4","3.2","1.2","0.8","2.6","30.4","24.3","33.7","9.8","115.8","104.6"
"32","Ben Simmons","Bro","G-F","26.7","42","26.3","14.4","29.2","57","0.439","233","0.571","2","0","0.566","0.559","6.9","6.3","6.1","1.3","0.5","2.3","13.2","13","19.3","9.8","111.2","101.6"
"33","Bennedict Mathurin","Ind","G-F","20.7","67","27.8","25.2","12.6","384","0.828","549","0.485","279","0.315","0.481","0.559","16.6","4","1.4","0.6","0.1","1.8","20.6","18","22","6.5","109","115"
"34","Bismack Biyombo","Pho","C","30.6","50","13.4","13.5","23.3","51","0.314","145","0.566","0","0","0.566","0.538","3.6","3.9","0.9","0.3","1.2","0.9","7.5","4.5","8.4","7","101.9","100.7"
"35","Blake Griffin","Bos","F","34","33","14.2","13","12.4","24","0.625","58","0.638","55","0.345","0.58","0.591","4.4","3.7","1.3","0.4","0.2","0.5","8.1","5.7","9.4","7.8","126.9","99.1"
"36","Blake Wesley","San","G","20","25","16.6","18.8","22.8","30","0.6","98","0.327","37","0.405","0.404","0.428","5.1","2.1","2.2","0.6","0.2","1.6","7.2","7.3","9.4","6.9","84","111.5"
"37","Boban Marjanovic","Hou","C","34.6","25","4.7","22.2","15","24","0.75","44","0.705","1","0","0.689","0.72","3.2","1.7","0.2","0.2","0","0.3","4.9","3.4","5.1","8.8","132.9","114.4"
"38","Bobby Portis","Mil","F","28.1","59","26","21.3","9.8","96","0.823","465","0.57","198","0.343","0.554","0.576","13.8","9.6","1.6","0.4","0.2","1.2","23.4","15.4","25","9.2","117.7","104.4"
"39","Bogdan Bogdanovic","Atl","G","30.6","44","28.4","20.1","9.5","62","0.806","217","0.484","297","0.404","0.554","0.573","14.1","3.2","2.9","0.8","0.4","1.2","17.3","17","20.1","7.2","113.9","114.4"
"40","Bojan Bogdanovic","Det","F","33.9","59","32.1","25.8","13.3","303","0.884","529","0.539","353","0.411","0.57","0.627","21.6","3.8","2.6","0.6","0.1","2.3","25.4","24.2","27.9","7.4","117.9","117"
"41","Bol Bol","Orl","C-F","23.3","65","21.8","17.7","19.1","100","0.76","340","0.644","97","0.299","0.601","0.625","9.2","5.9","0.9","0.4","1.3","1.6","15.2","10.2","16.1","6.7","109","109.8"
"42","Bones Hyland","Den","G","22.5","42","19.5","28.5","13.4","82","0.866","193","0.425","241","0.378","0.503","0.54","12.1","2","3","0.7","0.3","1.6","14.1","15.1","17.1","8.6","106.2","110.2"
"43","Bones Hyland","Lac","G","22.5","5","14.2","27.3","7.4","10","0.8","19","0.316","18","0.278","0.365","0.423","7","3.6","1.6","0.6","0","0.6","10.6","8.6","12.2","9.7","99.9","91.3"
"44","Bradley Beal","Was","G","29.7","48","33.5","29.3","14.1","216","0.843","635","0.557","211","0.37","0.557","0.597","23.4","3.9","5.5","0.9","0.7","2.9","27.3","28.9","32.8","9.5","114.7","113.2"
"45","Brandon Boston Jr.","Lac","G","21.3","21","11.7","26.5","9","38","0.763","92","0.424","29","0.414","0.471","0.519","6.8","1.4","0.9","0.4","0","0.6","8.2","7.7","9.1","7","105.9","109.2"
"46","Brandon Clarke","Mem","F","26.5","56","19.5","17.6","13.6","137","0.723","343","0.665","6","0.167","0.658","0.682","10","5.5","1.3","0.6","0.7","1","15.5","11.3","16.8","8.5","130.9","99.9"
"47","Brandon Ingram","Nor","F","25.5","33","33","30.4","15.4","182","0.868","456","0.493","132","0.394","0.515","0.572","23.2","5","4.9","0.7","0.4","3.2","28.1","28","33","10","108.6","108.6"
"48","Braxton Key","Det","F","26.1","3","3","8.8","0","2","1","1","1","0","0","1","1.064","1.3","0.3","0","0","0","0","1.7","1.3","1.7","0","",""
"49","Brook Lopez","Mil","C","35","68","30.7","19","11","152","0.757","447","0.622","333","0.381","0.601","0.621","15.5","6.7","1.3","0.5","2.5","1.4","22.2","16.8","23.5","6.7","120.5","105.7"
"50","Bruce Brown","Den","G-F","26.6","69","28.2","17.3","14.8","104","0.74","390","0.546","231","0.368","0.548","0.568","11","4","3.3","1.1","0.6","1.6","15","14.3","18.4","7.5","111.8","108.9"
"51","Bruno Fernando","Atl","F-C","24.6","3","2.5","27.7","40","0","0","3","0.667","0","0","0.667","0.667","1.3","0.7","0.3","0","0","0.7","2","1.7","2.3","10.4","",""
"52","Bruno Fernando","Hou","F-C","24.6","31","11.7","15.1","17.7","44","0.682","92","0.522","1","0","0.516","0.561","4.1","3.9","1","0.2","1","0.6","8","5","9","8.6","118.6","100.4"
"53","Bryce McGowens","Cha","G","20.4","36","14.8","12.9","16.5","43","0.791","76","0.395","45","0.311","0.421","0.486","3.8","1.7","0.8","0.3","0.1","0.7","5.5","4.6","6.3","4.7","97","115.4"
"54","Bryn Forbes","Min","G","29.7","25","10.7","16.2","12.6","15","1","37","0.432","46","0.304","0.446","0.497","3.6","0.6","0.7","0.3","0.1","0.5","4.2","4.2","4.8","4.3","98.5","112.9"
"55","Buddy Boeheim","Det","F","23.3","5","11.8","12.9","0","2","1","1","0","16","0.25","0.353","0.391","2.8","0.6","0.6","0.4","0","0","3.4","3.4","4","3.4","100.1","119.4"
"56","Buddy Hield","Ind","G","30.2","70","31.7","20.9","11.7","110","0.827","324","0.519","606","0.426","0.597","0.614","17.2","5","2.7","1.2","0.3","1.8","22.2","19.9","24.9","7.8","115.2","114.4"
"57","Cade Cunningham","Det","G","21.5","12","33.4","29.9","14.8","43","0.837","163","0.466","61","0.279","0.453","0.492","19.9","6.2","6","0.8","0.6","3.3","26.1","25.9","32.1","10.8","100.1","112.2"
"58","Caleb Houstan","Orl","G","20.2","40","15.1","10.8","8.3","13","0.846","38","0.447","95","0.379","0.534","0.551","3.8","2.1","0.5","0.2","0.1","0.3","5.9","4.3","6.4","4.2","115.8","110.7"
"59","Caleb Martin","Mia","F","27.5","60","29.7","14.7","12.5","100","0.8","271","0.542","210","0.376","0.552","0.582","10.2","4.9","1.6","1","0.5","1.2","15.1","11.8","16.7","5.8","114.2","108.3"
"60","Cam Reddish","Por","F-G","23.5","15","29.6","18.7","16","35","0.8","69","0.58","78","0.346","0.548","0.582","12.6","3.2","2.3","1.5","0.2","1.9","15.8","14.9","18.1","6.1","108.6","113.2"
"61","Cam Reddish","Nyk","F-G","23.5","20","21.9","16.2","9.9","33","0.879","80","0.55","56","0.304","0.511","0.558","8.4","1.6","1","0.8","0.4","0.8","10","9.4","11","4.3","113.1","111.1"
"62","Cam Thomas","Bro","G","21.4","51","16.5","27.6","12","162","0.858","280","0.464","116","0.379","0.495","0.568","10.4","1.7","1.4","0.4","0.1","1.1","12.1","11.8","13.6","7.1","108.8","114"
"63","Cameron Johnson","Bro","F","27","14","30.8","22","6.4","57","0.789","75","0.56","101","0.347","0.537","0.582","16.7","4.9","1.7","1.3","0.3","0.9","21.6","18.4","23.4","6.7","115.2","110.2"
"64","Cameron Johnson","Pho","F","27","17","25.3","19.6","5.5","33","0.818","74","0.5","99","0.455","0.604","0.629","13.9","3.8","1.5","0.9","0.4","0.6","17.7","15.4","19.2","6.8","127.5","110.3"
"65","Cameron Payne","Pho","G","28.6","38","21.6","25","16","57","0.754","221","0.452","163","0.374","0.499","0.521","11.2","2.2","4.7","0.8","0.2","1.9","13.4","15.9","18.1","9","105.9","108.6"
"66","Caris LeVert","Cle","G","28.6","67","30.1","19.1","13.6","162","0.722","393","0.455","287","0.376","0.501","0.532","11.9","3.9","4","1","0.3","1.6","15.8","15.9","19.8","7.6","109.6","106.4"
"67","Carlik Jones","Chi","G","25.2","2","11.4","15","16.4","4","0.25","4","0.25","1","0","0.2","0.222","1.5","1.5","1","0","0","0.5","3","2.5","4","4.6","63.3","115.1"
"68","Cedi Osman","Cle","F","27.9","68","20.6","18.1","9","96","0.688","199","0.583","278","0.36","0.558","0.576","8.8","2.3","1.5","0.5","0.1","0.7","11.1","10.3","12.6","6.1","114.6","106.8"
"69","Charles Bassey","San","C-F","22.4","35","14.5","15.7","23.3","37","0.595","127","0.661","8","0.375","0.656","0.658","5.7","5.5","1.3","0.5","0.9","1.2","11.2","7","12.5","9.5","120.8","104.8"
"70","Chima Moneke","Sac","F","27.2","2","4","26.5","50","2","0","2","0.5","0","0","0.5","0.347","1","1","0.5","0","0","1","2","1.5","2.5","7.9","73.5","97.2"
"71","Chimezie Metu","Sac","F-C","26","56","10.9","17","13.2","54","0.759","155","0.684","35","0.257","0.629","0.655","5","3","0.7","0.4","0.3","0.5","8","5.7","8.7","8","126.4","104.2"
"72","Chris Boucher","Tor","F-C","30.2","64","19.9","18.1","7.3","147","0.741","282","0.596","161","0.329","0.559","0.595","9.4","5.7","0.4","0.6","0.8","0.5","15.1","9.8","15.5","5.6","126.1","106.7"
"73","Chris Duarte","Ind","G","25.8","45","19.8","19","10.8","72","0.847","158","0.43","173","0.318","0.455","0.499","8","2.6","1.4","0.5","0.2","0.9","10.6","9.4","12","6.2","101.2","114.6"
"74","Chris Paul","Pho","G","37.9","49","32.1","19.1","15.4","142","0.817","333","0.483","210","0.357","0.504","0.547","13.5","4.2","9.1","1.6","0.4","2","17.8","22.6","26.8","10","120.8","109.4"
"75","Chris Silva","Dal","F","26.5","1","3","30.2","50","0","0","1","1","0","0","1","1","2","0","0","0","0","1","2","2","2","0","",""
"76","Christian Braun","Den","G","21.9","64","14.5","12.2","11.2","48","0.625","146","0.555","68","0.412","0.575","0.587","4.3","2.3","0.7","0.4","0.2","0.4","6.6","5","7.3","5.3","118","109.9"
"77","Christian Koloko","Tor","C","22.7","48","14.1","10.5","12.5","53","0.66","117","0.513","9","0.111","0.488","0.529","3.3","3.1","0.5","0.3","1","0.4","6.4","3.8","6.9","4.9","120","101.5"
"78","Christian Wood","Dal","F","27.5","58","26.7","26.5","13.5","242","0.773","440","0.6","253","0.372","0.584","0.624","17.2","7.7","1.7","0.5","1.1","1.9","24.9","18.9","26.7","9.1","116.6","105.6"
"79","Chuma Okeke","Orl","F","24.6","22","18.8","11.8","10.5","21","0.762","28","0.5","65","0.308","0.473","0.509","4.7","3.5","1.2","0.5","0.4","0.5","8.3","5.9","9.5","5.8","112.6","108.7"
"80","CJ McCollum","Nor","G","31.5","63","35.1","26.9","12.6","201","0.786","674","0.47","465","0.381","0.511","0.539","21","4.4","6","0.9","0.5","2.6","25.4","27","31.3","9.4","108.9","112"
"81","Clint Capela","Atl","C","28.8","54","26.6","16","8.8","100","0.58","455","0.64","1","0","0.638","0.64","11.9","11","0.9","0.7","1.2","0.8","22.9","12.7","23.7","7.4","135.6","107.9"
"82","Coby White","Chi","G","23.1","61","22.5","17.1","10.4","60","0.85","177","0.508","277","0.361","0.529","0.553","8.7","2.7","2.2","0.7","0.1","0.9","11.4","11","13.6","6.6","110","109.1"
"83","Cody Martin","Cha","F","27.5","7","19.1","12.9","5.2","7","0.571","22","0.5","14","0.214","0.431","0.448","5","3.4","1.6","0.6","0.1","0.3","8.4","6.6","10","6.3","108.1","109.5"
"84","Cody Zeller","Mia","F-C","30.4","10","13","16","21.4","23","0.739","28","0.536","1","0","0.517","0.601","4.7","3.5","0.6","0.2","0.4","0.8","8.2","5.3","8.8","6.6","120.5","96.5"
"85","Cole Anthony","Orl","G","22.8","50","25.4","21.2","13.2","146","0.884","322","0.491","164","0.354","0.504","0.562","12.4","4.5","4","0.6","0.5","1.5","16.9","16.3","20.8","9.6","116.1","106.9"
"86","Cole Swider","Lal","F","23.9","6","6.7","9.5","0","0","0","1","0","8","0.375","0.5","0.5","1.5","1.2","0.7","0","0","0","2.7","2.2","3.3","6.4","124.1","110.3"
"87","Collin Sexton","Uta","G","24.2","47","24","23.1","15.4","197","0.822","338","0.538","117","0.41","0.558","0.618","14.3","2.2","2.9","0.6","0.1","1.8","16.5","17.1","19.3","7.5","120.2","112.1"
"88","Corey Kispert","Was","F","24","62","27.5","13","9.2","65","0.877","148","0.649","286","0.423","0.639","0.661","9.9","2.7","1.1","0.5","0.1","0.7","12.6","11","13.7","4.5","125.1","115.8"
"89","Cory Joseph","Det","G","31.6","52","18.1","15.1","15.2","59","0.797","141","0.475","121","0.372","0.513","0.549","6.1","1.6","3.4","0.5","0.2","0.9","7.7","9.5","11","7.1","117","115"
"90","D'Angelo Russell","Min","G","27.1","54","32.9","22.8","16.8","167","0.856","348","0.546","378","0.392","0.567","0.605","17.9","3.1","6.2","1.1","0.4","2.7","21","24.1","27.1","8.5","115.4","113.1"
"91","D'Angelo Russell","Lal","G","27.1","9","29.8","25.1","12.9","29","0.828","66","0.515","62","0.371","0.535","0.572","17.9","3.6","6.4","0.7","0.3","2.1","21.4","24.3","27.9","10","116.5","112.7"
"92","Daishen Nix","Hou","G","21.1","47","16.7","15.2","25.2","34","0.676","86","0.43","118","0.305","0.446","0.468","4.4","1.8","2.6","0.6","0.1","1.5","6.2","6.9","8.7","6.6","93.5","115.8"
"93","Dalano Banton","Tor","F","23.4","27","9.3","23.3","12.4","19","0.789","67","0.493","46","0.283","0.465","0.494","4.4","1.3","1.1","0.5","0.4","0.6","5.8","5.5","6.9","7.9","102.8","104.4"
"94","Dalen Terry","Chi","F","20.7","28","4.9","16.5","12.7","10","0.5","25","0.52","16","0.375","0.537","0.54","1.8","0.7","0.6","0.1","0.1","0.2","2.4","2.3","3","7.4","113.2","108.3"
"95","Damian Jones","Uta","C","27.7","8","14.9","8.5","22.4","5","0.8","15","0.733","2","1","0.824","0.833","4","3.1","0.5","0","0.8","0.6","7.1","4.5","7.6","4.9","141","103.4"
"96","Damian Jones","Lal","C","27.7","22","8","13.1","19.4","20","0.75","34","0.588","3","0","0.541","0.6","2.5","2.5","0.2","0.1","0.5","0.4","5","2.7","5.2","5.4","118.2","105.3"
"97","Damian Lillard","Por","G","32.7","56","36.3","34","13.7","531","0.915","526","0.576","640","0.377","0.57","0.648","32.4","4.7","7.2","0.9","0.3","3.3","37.1","39.6","44.3","11.4","127.4","116.5"
"98","Damion Lee","Pho","G-F","30.4","69","20.8","16.2","14.4","102","0.902","191","0.445","237","0.443","0.567","0.61","8.4","3.1","1.4","0.4","0.1","1","11.5","9.8","12.9","6.4","115.5","109.9"
"99","Daniel Gafford","Was","F-C","24.5","68","19.8","14.8","17.8","158","0.652","319","0.743","0","0","0.743","0.743","8.5","5.4","1","0.4","1.3","1","13.9","9.5","14.9","7.2","137.6","105.6"
"100","Daniel Theis","Ind","F-C","31","7","15.5","20.2","6.4","12","0.417","33","0.576","11","0.182","0.5","0.497","7","3.1","1.3","0.3","0.9","0.4","10.1","8.3","11.4","7.9","108","115"
"101","Danny Green","Mem","G","35.7","3","14.5","13.3","21.4","0","0","3","0","8","0.375","0.409","0.409","3","1.3","0.7","0.3","0","1","4.3","3.7","5","3.9","76.5","102.5"
"102","Danny Green","Cle","G","35.7","6","7.4","15.5","19.4","1","1","2","0.5","10","0.5","0.708","0.723","3","0.5","0","0.3","0.2","0.5","3.5","3","3.5","0","109.6","105.4"
"103","Danuel House Jr.","Phi","F-G","29.8","45","13.9","12.7","11.9","42","0.714","56","0.696","84","0.345","0.589","0.615","4.3","1.7","0.7","0.2","0.2","0.4","6","5","6.7","5","117.2","108.8"
"104","Dario Saric","Okc","F","28.9","14","14.3","22.3","17.5","22","0.864","44","0.659","36","0.361","0.606","0.647","8.3","3.4","1","0.3","0","1.2","11.7","9.3","12.7","8.5","115.2","103.2"
"105","Dario Saric","Pho","F","28.9","37","14.4","18.7","16.8","44","0.818","109","0.45","69","0.391","0.503","0.545","5.8","3.8","1.5","0.4","0.1","1","9.6","7.4","11.2","8.9","110.5","101.6"
"106","Darius Bazley","Pho","F-G","22.8","2","8.5","20.2","12.5","0","0","3","0.333","4","0.25","0.357","0.357","2.5","3","1","0.5","0.5","0.5","5.5","3.5","6.5","9.2","85.2","83.9"
"107","Darius Bazley","Okc","F-G","22.8","36","15.4","15.7","12.2","65","0.554","113","0.469","45","0.4","0.506","0.525","5.4","3.4","0.9","0.5","0.8","0.6","8.8","6.3","9.7","6.6","108.4","110"
"108","Darius Days","Hou","F","23.4","4","6.3","21.4","0","2","1","2","1","10","0.3","0.542","0.582","3.8","1.5","0.3","0","0.3","0","5.3","4","5.5","7.6","131.1","113.4"
"109","Darius Garland","Cle","G","23.1","62","35.2","27","15.1","300","0.853","625","0.502","382","0.416","0.549","0.597","22","2.7","7.8","1.3","0.1","2.9","24.7","29.8","32.5","8.8","119.1","108.7"
"110","David Duke Jr.","Bro","G","23.4","18","9.6","20.3","18.6","9","0.556","53","0.509","8","0.125","0.467","0.477","3.4","1.1","0.9","0.4","0.1","0.8","4.6","4.3","5.4","6.2","91.9","103"
"111","David Roddy","Mem","F","22","57","16.8","17.2","12.8","55","0.618","161","0.584","165","0.303","0.518","0.531","6.5","2.6","0.6","0.5","0.3","0.8","9.1","7.2","9.8","5.2","102.2","106.1"
"112","Davion Mitchell","Sac","G","24.5","68","17.9","14.3","14.3","28","0.786","173","0.578","163","0.325","0.534","0.547","5.6","1.3","2.2","0.5","0.2","0.8","6.9","7.8","9","5.6","109.5","112.6"
"113","Davis Bertans","Dal","F","30.3","39","10.7","15.9","7.1","12","0.833","15","0.733","116","0.388","0.599","0.613","4.3","1","0.5","0.3","0.2","0.3","5.3","4.7","5.8","4.8","118.5","108.8"
"114","Davon Reed","Den","G","27.8","35","9","15","19.9","20","0.75","36","0.25","44","0.364","0.413","0.456","2.3","1.5","0.5","0.4","0.1","0.6","3.9","2.9","4.4","5.3","89.2","104.8"
"115","Davon Reed","Lal","G","27.8","5","4.2","9.6","0","4","0.25","1","1","2","0.5","0.833","0.63","1.2","0.6","0.4","0.2","0","0","1.8","1.6","2.2","6.3","140.8","102.1"
"116","Day'Ron Sharpe","Bro","F","21.4","36","11.2","18.7","22.3","28","0.607","113","0.513","9","0.556","0.537","0.551","4.1","3.8","0.8","0.2","0.6","1","7.9","4.9","8.7","8.3","110.9","97.5"
"117","De'Aaron Fox","Sac","G","25.2","62","34.1","30","12.5","391","0.775","840","0.579","305","0.334","0.558","0.6","25.5","4.3","6.1","1.2","0.3","2.6","29.8","31.6","36","10.3","118.6","111.5"
"118","De'Andre Hunter","Atl","F-G","25.3","60","32","19.7","9.3","198","0.818","477","0.52","258","0.36","0.527","0.57","15.6","4.2","1.4","0.5","0.3","1.3","19.8","17","21.2","5.6","112.1","111.2"
"119","De'Anthony Melton","Phi","G","24.8","66","27.7","16.3","13.6","70","0.8","208","0.471","343","0.402","0.554","0.572","10.1","4.1","2.7","1.6","0.5","1.3","14.2","12.7","16.9","7","112.6","105.4"
"120","Dean Wade","Cle","F-C","26.3","39","19.9","10.2","8.4","23","0.652","43","0.558","109","0.349","0.533","0.546","4.5","3.3","0.8","0.6","0.5","0.4","7.9","5.4","8.7","4.6","112.9","101.9"
"121","Deandre Ayton","Pho","C","24.7","61","30.4","23.4","11.8","181","0.751","803","0.598","24","0.292","0.593","0.616","18.3","10.1","1.8","0.6","0.8","1.8","28.5","20.1","30.3","9.1","119","104.4"
"122","DeAndre Jordan","Den","C","34.7","35","14.3","13.7","30.2","41","0.439","96","0.771","1","1","0.778","0.735","4.8","4.8","0.9","0.2","0.6","1.2","9.6","5.7","10.5","7.7","116","101.5"
"123","Dejounte Murray","Atl","G","26.5","65","36.4","24.6","11.1","160","0.825","808","0.507","355","0.355","0.515","0.539","20.5","5.4","6","1.5","0.3","2.2","25.9","26.5","31.9","9.6","110.8","115.1"
"124","Delon Wright","Was","G","30.9","41","24","12.3","14.6","42","0.905","129","0.55","93","0.355","0.543","0.58","6.8","3.3","3.9","2","0.3","0.9","10.1","10.7","14","7.4","127.6","110.9"
"125","DeMar DeRozan","Chi","G-F","33.6","63","36.5","28.2","10.9","475","0.869","1022","0.528","108","0.343","0.527","0.599","25.5","4.7","5","1","0.5","2.2","30.2","30.5","35.2","9.2","119.6","109.3"
"126","Deni Avdija","Was","F","22.2","68","25.8","16.2","16.4","145","0.759","290","0.528","200","0.285","0.487","0.53","8.6","6.2","2.5","0.8","0.4","1.4","14.8","11.1","17.3","7.9","106.9","104.6"
"127","Dennis Schroder","Lal","G","29.5","57","30.6","18.5","14.9","211","0.872","376","0.463","197","0.33","0.474","0.546","12.8","2.5","4.6","0.8","0.1","1.8","15.2","17.4","19.8","6.9","110.8","111.3"
"128","Dennis Smith Jr.","Cha","G","25.3","50","25.7","17.4","15.2","98","0.735","315","0.479","99","0.212","0.441","0.478","8.7","3","4.7","1.4","0.5","1.5","11.7","13.5","16.5","7.7","103.4","109.8"
"129","Deonte Burton","Sac","G-F","29.1","2","3.3","13.2","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"130","Dereon Seabron","Nor","G","22.8","5","2.3","18.4","0","0","0","5","0.4","0","0","0.4","0.4","0.8","0.2","0","0","0","0","1","0.8","1","0","",""
"131","Derrick Jones Jr.","Chi","F","26.1","52","13.8","13.9","10.6","70","0.786","121","0.595","55","0.327","0.563","0.612","4.9","2.4","0.6","0.4","0.6","0.4","7.3","5.4","7.8","5.6","126.4","106.6"
"132","Derrick Rose","Nyk","G","34.5","27","12.5","23.7","12.1","12","0.917","96","0.438","63","0.302","0.443","0.463","5.6","1.5","1.7","0.3","0.2","0.8","7.1","7.3","8.8","7.8","99.3","113"
