"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"517","Steven Adams","Mem","C","29.7","42","27","14.5","23.1","129","0.364","262","0.599","1","0","0.597","0.564","8.6","11.5","2.3","0.9","1.1","1.9","20.1","10.9","22.5","9","117.6","102.3"
"518","Svi Mykhailiuk","Nyk","G-F","25.8","13","3.1","17.4","14","5","0.6","2","0","10","0.6","0.75","0.739","1.6","0.5","0.1","0.1","0","0.2","2.2","1.7","2.2","5.6","",""
"519","Svi Mykhailiuk","Cha","G-F","25.8","9","12.2","16.6","7.5","8","0.375","19","0.368","18","0.444","0.514","0.506","4.6","0.9","0.8","0.1","0.1","0.3","5.4","5.3","6.2","4.9","103.3","119.2"
"520","T.J. McConnell","Ind","G","31","65","19.9","18.3","21.3","54","0.852","375","0.544","49","0.449","0.559","0.581","8","3","5.1","1.1","0.1","1.8","11","13.1","16.1","10","115.8","113.2"
"521","T.J. Warren","Bro","F","29.5","26","18.9","21","7.8","33","0.818","152","0.566","48","0.333","0.55","0.576","9.5","2.8","1.1","0.6","0.3","0.7","12.3","10.6","13.4","6.5","112.3","109.2"
"522","T.J. Warren","Pho","F","29.5","8","6.4","12.5","6.7","0","0","12","0.25","2","0.5","0.321","0.321","1.1","2","0","0.3","0.1","0.1","3.1","1.1","3.1","0","80.6","100.7"
"523","Taj Gibson","Was","F","37.7","43","9.7","15.2","16.4","38","0.684","88","0.602","19","0.211","0.551","0.582","3.3","2","0.7","0.3","0.3","0.5","5.3","4","6","6.9","115.8","98.7"
"524","Talen Horton-Tucker","Uta","G","22.3","55","18.5","23.9","18.1","109","0.771","284","0.493","154","0.286","0.47","0.51","9","2.9","3.3","0.6","0.5","1.8","11.9","12.3","15.2","9.5","103.5","110.6"
"525","Tari Eason","Hou","F","21.9","70","20.6","19.4","13","121","0.736","401","0.486","140","0.364","0.502","0.532","9","5.8","1","1.1","0.6","1.2","14.8","10","15.8","7.3","110.4","107.5"
"526","Taurean Prince","Min","F","29","45","21.4","16.8","15.9","51","0.843","148","0.568","152","0.375","0.565","0.592","8.5","2.4","1.6","0.5","0.3","1.3","10.9","10.1","12.5","6","107.2","108.3"
"527","Terance Mann","Lac","G-F","26.4","69","23.4","15.4","12.6","99","0.778","292","0.606","166","0.392","0.599","0.624","9.1","3.6","2.3","0.5","0.3","1","12.7","11.3","14.9","7.2","124.6","110.2"
"528","Terence Davis","Sac","G","25.8","54","13","21.4","13.4","35","0.886","100","0.56","190","0.363","0.55","0.573","6.5","2.2","1.1","0.7","0.2","0.8","8.7","7.6","9.9","7.7","107.9","103.2"
